,Date_Time_UTC,Location,Theta_Height,RH_Height,q_Height,N_Height,dTheta,dRH,dq,dN
0,17-Jun-2018 17:40:26,HMI,2967.6,2967.6,2990.2,2990.2,72.0994955338577,-187.51362502121248,-20.901255634793884,-196.53163368372586
1,18-Jun-2018 17:20:12,HMI,2875.2,2378.4,2383.2,2383.2,16.78710691445056,-194.65893956022853,-22.75890890963998,-161.92755554386457
2,18-Jun-2018 20:06:03,HMI,1840.0,1475.5,1871.0,1871.0,26.81647295327555,-145.23696215756098,-14.674223831192446,-114.31060943672844
3,29-Jun-2018 17:10:29,HMI,2419.9,2419.9,2419.9,2419.9,53.50674824660632,-456.07192447158985,-47.4396434513676,-328.40865803731833
4,29-Jun-2018 20:03:08,HMI,2395.7,2395.7,2395.7,2395.7,45.17874007936427,-605.8628472221986,-63.50308886904516,-419.3279281745864
5,30-Jun-2018 17:14:18,HMI,1669.4,1622.8,1622.8,1622.8,37.03302263845433,-502.18429618798774,-72.43728015542048,-476.64556916531944
6,30-Jun-2018 20:02:16,HMI,1898.1,1898.1,1917.3,1917.3,53.249964534595875,-473.14576219511423,-55.97101190840171,-372.74382251670653
7,01-Jul-2018 17:15:34,HMI,1830.1,1830.1,1830.1,1830.1,51.29694144777789,-471.4465530214086,-74.82055040889637,-495.83857670808953
8,01-Jul-2018 20:02:10,HMI,1368.9,1368.9,1368.9,1368.9,76.10570404756199,-911.9494224331279,-153.9908517521836,-1018.026269363384
9,02-Jul-2018 15:02:45,HMI,2192.6,2192.6,2192.6,2192.6,25.07270377571545,,,
10,02-Jul-2018 17:51:56,HMI,2018.0,2023.1,1987.0,1987.0,23.268347839136545,-219.35067114551106,-47.50864169315901,-293.2284506512782
11,17-Jun-2018 12:47:08,HUBV,1846.0,1846.0,1846.0,1846.0,20.687499999999986,-299.28124999999943,-30.05345049999999,-219.8902437499989
12,17-Jun-2018 12:47:09,HUBV,2816.0,2810.0,2804.0,2196.0,19.156250000001318,-190.20833333333073,-17.99908918750002,-154.8312962499966
13,18-Jun-2018 12:47:09,HUBV,2994.0,2974.0,2974.0,2950.0,21.124999999998394,-214.1369047619053,-19.992090238095308,-139.86926607142826
14,18-Jun-2018 12:47:10,HUBV,2484.0,2484.0,2488.0,2484.0,22.968749999998987,-361.2500000000017,-40.15957512500029,-241.3683468750021
15,29-Jun-2018 17:27:32,HUBV,2430.7,2430.7,2430.7,2430.7,55.351845863346625,-475.754280587232,-51.920983294967634,-352.1728087247393
16,29-Jun-2018 12:47:20,HUBV,2117.0,2121.0,2129.0,2125.0,34.062499999998025,-263.4375000000002,-27.388761250000158,-193.37130625000236
17,29-Jun-2018 12:47:21,HUBV,2193.0,2193.0,2193.0,2193.0,41.66666666666661,-557.2916666666658,-51.54727358333332,-357.00233125000034
18,30-Jun-2018 12:47:22,HUBV,1923.0,1923.0,1923.0,1923.0,57.886904761904724,-755.2083333333356,-74.5406868645836,-522.1368864583364
19,01-Jul-2018 12:47:23,HUBV,1344.0,1344.0,1344.0,1344.0,43.76190476190521,-1069.3630952381002,-170.12607913690567,-1100.0117886904814
20,02-Jul-2018 12:47:23,HUBV,1259.0,1259.0,1259.0,1259.0,48.616071428571956,-1003.6458333333336,-171.81991309523812,-1115.068144345236
21,02-Jul-2018 12:47:24,HUBV,1642.0,1597.0,1597.0,1642.0,22.232142857142094,-335.2083333333327,-53.345953124999944,-277.9205163690467
22,03-Jul-2018 12:47:24,HUBV,2378.0,2378.0,2378.0,2378.0,16.708333333333623,-213.4583333333334,-26.689423487499937,-184.3020227083338
23,03-Jul-2018 12:47:25,HUBV,2405.0,2405.0,2405.0,2405.0,41.2916666666677,-612.9166666666647,-65.11661726145812,-425.15184495833046
24,07-Jun-2018 17:03:16,UMBC,2174.7,2174.7,2174.7,2174.7,171.66562009418766,-1251.468799058107,-52.00828635858396,-488.94638366693766
25,08-Jun-2018 17:03:32,UMBC,1392.0,1558.6,1378.0,1378.0,96.74664511517416,-487.4845043403224,-73.34740727821695,-431.7928880142084
26,17-Jun-2018 18:08:37,UMBC,1285.3,1288.4,1288.4,1288.4,30.81897062050024,-182.60967507413676,-17.85908917214397,-176.85444021162357
27,17-Jun-2018 18:08:30,UMBC,1152.1,1152.1,1152.1,1152.1,20.224669715446446,-237.76961016113637,-28.888443098458787,-228.43617856486853
28,18-Jun-2018 17:24:06,UMBC,2812.0,2812.0,2817.2,2817.2,24.817568108971944,-261.89826121795244,-35.47948699481564,-229.4998896398963
29,18-Jun-2018 17:23:28,UMBC,2815.8,2821.8,2821.8,2821.8,24.032854498507163,-383.938184603097,-41.31044556986679,-265.19155395205826
30,18-Jun-2018 20:12:34,UMBC,1123.0,1331.7,1173.0,1173.0,59.32842279573739,-327.90565930726234,-91.26695814297565,-530.9714606960963
31,18-Jun-2018 20:12:38,UMBC,1440.9,1440.9,1440.9,1440.9,22.010231090386334,-527.5412486408455,-79.55160805575206,-519.4631602699411
32,29-Jun-2018 17:11:10,UMBC,2343.2,2343.2,2343.2,2343.2,45.15069276066548,-630.8988054467922,-60.0472279754739,-399.8800955371291
33,29-Jun-2018 20:35:01,UMBC,2396.3,2396.3,2396.3,2396.3,31.34799450107878,-571.3542598186759,-57.985974250439725,-376.05670692292927
34,30-Jun-2018 17:16:03,UMBC,1761.0,1761.0,1761.0,1761.0,72.17681727613271,-861.2375916104371,-99.67836192441065,-679.8843845081409
35,30-Jun-2018 20:04:35,UMBC,2122.7,2122.7,2122.7,2122.7,102.78504275555397,-998.2423600238399,-106.60130487786333,-727.2925608415196
36,01-Jul-2018 17:18:59,UMBC,1287.2,1287.2,1287.2,1287.2,38.221321524678636,-503.8752343895977,-88.85486513486383,-592.6090732623005
37,01-Jul-2018 17:18:46,UMBC,1292.1,1292.1,1292.1,1292.1,42.91239723086219,-788.4484219994861,-138.38067918281487,-902.9125776112548
38,01-Jul-2018 20:02:51,UMBC,1476.8,1476.8,1476.8,1476.8,86.5842759562815,-1559.2201639343857,-255.26771392024585,-1611.5441931249566
39,01-Jul-2018 20:02:51,UMBC,1490.0,1490.0,1490.0,1490.0,97.01592834507704,-1386.4114459522916,-228.52592038957155,-1459.4082359084011
40,02-Jul-2018 17:42:40,UMBC,2019.2,2019.2,2019.2,2019.2,64.65955634278026,-603.6415534027344,-69.85866410238317,-485.04005846828426
41,02-Jul-2018 17:42:39,UMBC,2015.1,2018.0,2018.0,2018.0,59.74533272163641,-493.1174014530711,-61.42673086017797,-421.8241430561658
42,02-Jul-2018 19:56:19,UMBC,2036.0,2036.0,2036.0,2036.0,93.47496055399517,-1786.0865558711844,-238.43935138337886,-1467.5104542453657
43,02-Jul-2018 19:40:47,UMBC,2033.4,2033.4,2033.4,2033.4,90.20116669142402,-1389.2340321102984,-177.590181219793,-1124.72089509369
